Title,Meaning
Дим сара,Жуда яхши
Димиқдим,Ҳаво етишмай қолди
Дин,"Жим бўл, оғзингни юм, йиғлайверма."
Динг,"Устун, кунгура."
Дингнгисиз,Тиниб тинчимас
Диниқ,Тиниқ (шаффоф) сув.
Динор,Танга
Дираб қўй,Тираб қўй
Дирам,Пул
Дирдин,1.Озгина 2.Кичкина
Дири,Тирик
Дирноқ,Фундамент-пойдевор
Дислиқ. Дислиқ сочоқ.,Кир бўлиб кетган. Кир сочиқ.
Диш,Тиш
Диш чўп,Тишковлагич
Дишак,Тишсиз
Дия,Туя
Додимиди,Тарқатганда ҳаммага етмайдиган даражада оз.
Додимоқ,Етарли бўлмоқ
Додингни бераман,Дабдала қиламан
Додлама,"Бақир-чақир қилма, сасингни ўчир"
Додов,Оёққа туриш
"Дойғоқ, дойинжоқ",Сирпанчиқ
Дойи,Тоға
Дойиб гетди,Сирпаниб кетди
Дойинможоқ,Муз устида ўйналадиган ўйин тури
Дойирдома,Кеккаяверма
Доймоқ,Айтган гапидан ёки лафзидан кайтмоқ.
Долон,Уйнинг ичида кўчадан кираверишда жойлашган хоналар билан ўралган катта хол.
Долошмоқ,Талашмоқ
Домизлиқ,Қатиқ тайёрлаш учун сутга солинадиган озгина қатиқ
Домоқ (емак),Овқат
Домоқ ёғи,"Очофат, овқатдан бошқа нарсани ўйламайдиган одам"
Домоқсўв,Кўп овқат ейдиган одам
Домор,Томир
Домчи,Томчи
Домчилаб сувориш,Томчилаб суғориш
Донди,"Айтган гапидан ёки лафзидан қайтди. М:мен ундай деганим йўқ, деб туриб олди."
Дондингми?,Ваъдангдан қайтдингми?
Донилған одам,Донгдор одам
Донилғон,Обрў-эътиборли
Дониш (от),Таниш одам
Доғи,Ва бошқа
Доғла,Ёғни доғлаш
Доқмо,"Тақмоқ, ўз масъулиятини бировга юкловчи одам."
Дониш (феъл),Танишиб ол.
Донишим,Танишим.
Дори,Тариқ
Дорима,Бундан буён кўзимга кўринма
Доримоқ,Бир кўриниш бермоқ
Доронғи,Тўронғил
Досмол,"1. Қозон ювадиган сочиқ. 2. Лаганбардор (раҳбар нима гапирса тўғрими, нотўғрими маъқуллаб юрадиган одам)"
Дотмоқ,Татиб кўриш
Дош кўпир,Маҳалла номи. Тош кўприк маъносидан келиб чиққан.
Дош-дамир,Жуда қаттиқ
Доша гўкаради,"Гап таъсир қилмайдиган, ўз сўзидан қайтмайдиган одам."
Дошёқ,"Тош томон, шаҳардан четдаги жуда қаттиқ тупроқли ҳудуд."
Дошиб гетди,"Ариқни суви керагидан кўпайса ёп тошиб кетди, дейишади."
Дошқин бува,"Тўлиб тошиб кутиб оладиган қария. Дошқин бува деган қабристон, масжид ҳам бор."
Дошном,"Сени у қиламан, бу қиламан деб ўзини кучлироқ эканини билдириб қўйиш."
Дошоёқ,"Ариқнинг охири, оёқи (чегараси) тошли ерга боради."
Дошўвиз,Дошҳовуз –Туркманистондаги вилоят
Дубулға,Темир қалпоқ
Дўв,"1.Дев, 2.Барзанги одамларга нисбатан ишлатиладиган лақаб."
"Дўв, дап",Теп
Дувак,Боланинг бешикдаги туваги.
Дуваланг,Кучли шамол
Дўвиш,"Майдалаш, шоли янчиб гуруч қилиш."
Дувоқ,Қозон қопқоғи.
Дўвча,Ўрикни илк етишмаган меваси.
Дўғди,Кўзи ёриди.
Дўғма,Биринчи ўғил бола
Дўғра,Гўштни тўғра
Дўғри,Тўғри
Дўғромо,Майдалаб пиширилган гўшт
Дуд,Тутун
Дуд палакдан,"Базмни қизиб кетган даври, дастурхон тўлиб тошган"
Дўдди,Фаҳм-фаросатсиз
Дудик,Баҳорда дарахт новдасидан пайванд қилиш ёки болаларга хуштак учун ажратиб олинган пўстлоғи.
Дўдоқ,Лаб
Дудола,Нима қилишини билмай хаёл суриш холати
Дудут,Машина (бола тилидан)
Дуз,Туз
Дузи камис,Тузи кам
Дузик,"Тузик, яхши"
Дузнамак,"Дастурхон атрофида бирга нон-туз ейиш. Айрим кўнглига ёкмайдиган одамларга нисбатан, сен билан дузнамак бўлмайман, дейилади"
Дуй,"Туг, маҳкам боғла."
Дуйдириб қўй,Кимлигимни секин билдириб қўй.
Дуйилмак,Овқатга тиқилиб қолмоқ
Дуйинжик,"Тугун, бўхчама."
Дуймоқ,Сезмоқ
Дуйнак,Хом қовун
Дўк,Тўк
Дукорт (Гурлан тумани),Қайчи
Дул,Бева
Дўла,Чайла
Дўладўқ,Тўладан келган одам
Дўлдириб қуй,Тўлатиб қуй
Дўли,"Тўла, кўп"
Дўли,"Жуда кичкина идиш. Масалан, машинага мой қуйиш учун ишлатиладиган идиш"
Дўлишмоқ,"Етилмоқ, семира бошлаган"
Дулли душдан,Чор тарафдан
"Дум думалоқ-бузмоғонни
оёқи чўлоқ",Болалар ерга чизиб ёки лойдан ясаб ўйнайдиган ўйин тури.
Дум ўтиштирдинг,Жуда ошириб юбординг
Дўмбўйин,Ишёқмас
Думон,Дуд.
Дўн,Тўн
Дўнак,Бир сўзда турмайдиган одам.
Дўнгдим,Совуқ қотдим
Дўнгиз,"Тўнғиз, чўчқа."
Дўнгмоқ,Совуқ қотмоқ
Дўндирма,"Болалар ўйини, танга ёки форфор идиш синиғини яна биттаси билан уриб тўнтариш"
Дуниб ўтирибди,Ўз хаёли билан банд бўлиб ўтирибди.
Дунма. Дунмада ўтирибди.,Ҳеч нарсага эътибор бермасдан хаёл суриб қолиш.Ўз хаёли билан банд бўлиб ўтирибди.
Дўнмак,"Бир шаклдан бошқа шаклга кириш, айланиш, бир гапни бошқача гапга айлантириш"
Дўнмас,"Гапда енгиб бўлмас, бақувват, бир сўзда турувчи"
Дунук,"Дарча, туйник"
Дур,Тўхта
"Дўрамак. Сан нердан
дўрагансан.","Яралмоқ, туғилмоқ.Сан нега бундай яралгансан, туғилгансан."
Дурвадик,Гаплашиб тургандик
Дурдивой (исм),Турдибой (исм)
Дуришино қоро.,Туришини кўр.
Дуришта,"Хашак билан кунжара, кепак аралаштириб тайёрланган мол еми."
Дурма берда,Бу ерда турма
Дурмоқ,Тўхтамоқ
Дуртиб ювар,Туртиб қўй
Дуртки,Туртки
Дўсоқ,Ҳурматга лойиқ кўрилмайдиган таниш- билиш.
Дўхтир,Доктор
Душ,Рўпара
Душ,"Томон, тараф."
Дўш,"Қуш кўкраги, тўши."
Душ томона,Хоҳлаган томона
Дўша,Ёз. Полга гилам ёз.
"Дўшай, дўшама","Полга, ерга тўшаладиган гилам, поёндоз, кигиз ва бошқа"
Дўшалаварма,Ўзингни оёқ ости қилма
Дўшалмак,"Ялинмоқ, бировни олдида ўзини оёқ ости қилмоқ, камситилишга рози бўлмоқ."
Душгалди,"Олдимдан чиқиб қолди, учратиб қолдим"
Дўшиб чиқсин,Тешиб чиқсин (сўкиш)
Дўшик,Тешик
Душинда Ўйни душинда.,Рўпарасида. Уйнинг рўпарасида
Дуюн,Бирор бир юзада туртиб чиққан жой
Дўғғаним,"Қадрдоним, бирга туғишганим, яқин одамим."
Дўқима,"Бекор гап, тўқима гап."
Дўқима гап,Ўйлаб топилган гап
Дўқима гаппингни қўй,"Гапни опқочма, гапнам ҳам жуда ошириб юборасан"
Едди гўримингни гўргайсан,"Етти кафанингни кўргайсан, деб сўкишни бир тури"
"Езда
(Ҳазораспда ишлатилади)","Куёв, почча"
Ейилиб ёзилган оила,"Ўзига тўқ, серфарзанд, пиру бадавлат, маҳаллада ибратли оила"
Ейма,"Асосан, болани ўраш ёки кўрпа-тўшакни ёпиб қўйиш учун ишлатиладиган юпқа кўрпа."
Екан,Якан – кўлларда ўсадиган ўсимлик.
Елвираш,Ҳилпираш
Енга,Келинойи
"Енгса, енглик",Нон ёпганда ишлатиладиган қўлқоп ва билак ёпинчиғи.
Ер қири,"Жуда кўп, мўл."
Ер тути,Қулупнай
Етар-етмас (оила),Камбағал (оила)
Ё,Ёки
Ё вонли ё бонли,У ёқли ё бу ёқли.
Ё пирим,"Курашчилар Паҳлавон Маҳмудни ўзи қўлласин, деб шеригини ағдариб уради"
Ёвлиқ,1.Еттинчи авлод зурриёд. Бу зурриёдлар бир-бирини танимасдан бир бирига ёв бўлиб қолиши мумкин.
Ёвлоқ,"Тинч кенглик, дала."
Ёво,Паншаҳа
Ёвон,Қишлоқ
Ёвонли,Қишлоқи
Ёғи,Душман
Ёғирни,Яғрин
"Ёғиш, ёғмур, ёмғур",Ёмғир
Ёғлов,"Ёғ куйдирадиган қозон, товон."
Ёдима сол,Эслатиб қўй
Ёзғит,Тақдир
Ёздир,"1.Еч, 2. Ашуллани авжига чиқар маъносида."
Ёзин бўйи,Ёз фаслининг охиригача
Ёзлиқ,Эрта пишар буғдой
Ёзмак,Ёймоқ
"Ёқ (Гурлан ва Янгибозор
туманларида)",Йўқ
Ёқмос,Одати паст
Ёқоломоқ,1. Бирор нима бўйлаб (ариқ қирғоғидан) юриш. 2. Ўжарлик билан кимдандир ниманидир талаб қилмоқ.
Ёқолош,Жанжал
Ёқолошиш,Уришмоқ
Ёқти,Ёруғ
Ёқти дунёга чиқдими?,"Фарзанд соғ-омон туғилдими, онаси яхшими? деб сўралгани."
Ёла галган,"Сигир, ит ёки бошқа бир урғочи ҳайвоннинг куйга келиши"
Ёлаза,"Шамол эсиб турадиган ҳудуд, майдон"
Ёлинг,Олов тафти
Ёлмонбой,Жуда уддабурон
Ёлмонтака,Очкўз
Ёлоғой,Одамлар билан тез тил топиша оладиган одам
Ёлоқ,Итга овқат бериладиган идиш
Ёлпиллаб гетибсиз.,"Юзи тўлишиб, ялтираб кетибди, қизларга нисбатан айтиладиган мақтов."
Ёлпошғон,"Эзилиб кетган, букланиб қолган."
Ём,"Чоҳ, чуқурча"
Ёмоқ,Ямоқ
Ёмон бола,"Гоҳида ҳазиллашиб, тўғри сўзли, ақлли болаларга баҳо бериладиган сўз"
Ёмпиқ,Бирор бир қийшайган юза.
Ёнгазиқ,Эшик роми
Ёнгошқадан,"Қайтадан, бошдан"
Ёнқи,Бояги
Ёп,1. Канал 2. Ур
Ёпдингми,1. Тандирда нон ёпиб қўйдингми 2. Урдингми
Ёпиштир,Уриб ташла
Ёр,Арра билан кес
Ёрғи,Икки киши ишлатадиган икки дастали арра
"Ёрқач (Гурлан,
Янгибозор
туманларида), ёрчиқ (Хивада)",Ёғочнинг тикондан катта бўлаги.
Ёроғ,Қурол
Ёт,Бегона
Ётиринг,Ётқизинг
Ётлиқ,"Шажарада олтинчи авлод, ёт бўлиб кетар экан, биринчи авлодларни кўп ҳолларда танимайди"
Ётоқ тўппи,Тунда кийиб ётиладиган дўппи
Ёшарди,"1. Инсон кўнгли кўтарилганда, ҳурсандчи-ликдан юз-кўзи ёришиб, яшариб кетганга ўхшайди. 2. Кўзи ёшланди."
Жаймақ (донмоқ),"Айтган гапидан ёки лабзидан кайтмоқ, мен ундай деганим йўқ деб туриб олиш"
Жайхун,Амударё
Жаммоб,Ипак мато тўқувчи. Муаллифнинг катта бобоси жаммоб бўлган.
Жаназак,Жонсиз
Жаназак бола,Қуввати йўқ бола
Жангли,Овоз чиқариб учадиган варрак
Жежай,"Болага олиб келинган буюм ёки ўйинчоқни, сенга жежай олиб келдим дейилади"
Жез,Мис
Жибиқ,"Кўзи касал, ёшланиб юрадиган киши."
Жигилдак,Жийданинг жуда майда эти кам ёввойи тури.
"Жиғ атди, юраги жиғлади",Ёқтириб қолди. Қиз болани биринчи кўришданоқ ёқтириб қолганда айтилади
Жиға,Қизларнинг бош кийими безаги (товус пати)
Жиғлади,"Чойнакни қара қайнаганга ўхшайди, жиғлаб овоз бериб турибди"
Жиззиқ,Жизза
Жиззиқинга дейдими?,Нафсониятингга тегдими?
Жик,"Боладан яшириниб, у топаолмаса жик деб кўриниш берилади"
"Жиқ, жийқ.",Пахта толасини чигитдан ажратувчи ускуна.
Жиққа,Хўл
Жил,Юпқа қилиб ёйилган хамир
Жилам-жилам,Йиртилиб-сўкилиб афтодаси чиқиб қолган кийим
Жилли,Жинни
Жилоши,"Хамир овқат, хамирни лағмонга ўхшатиб тайёрлаб пишириладиган суюқ ош (уноши)"
Жимси,"Ҳар нарсадан шубҳаланувчи, майда гап, эзма одам."
Жинг-жинг,Жонга тегадиган паст овозли киши
Жинқирама,Безовта бўлаверма
Жиннақдин,Озгина
Жир,Можоро
Жирвиқ,Одобсиз
Жирқи,Этикнинг ғирчиллаши
Жирпилдомоқ,"Эркаланиш, ёки бир жойда туролмай ўзини кўрсатишга ҳаракат қилиш"
Жирчи,Жанжалкаш
Жой сол,Ётадиган жойни тайёрла
Жойига тушибди,"Бирон киши раҳбар қилиб тайинланганда, у барчага маъқул келса-ўрнига тушибди, яъни тўғри танланибди дейилади"
Жоқой,Улфатларнинг бошини бириктириб зиёфатлар ташкил қилиб юрадиган одам.
Жоллимисан,Жонинг борми деган маънони англатади
Жом,Мис коса
Жони ичина сиғмиди,"Аччиғи чиққан, жаҳли тушмаётган киши"
Жони сўвил,Машаққатларга бардошли одам
Жониқиш.,"Нимагадир, қаергадир қаттиқ шошилмоқ."
Жониқмоқ,Қаттиқ шошилмоқ
Жонимни ёқмо,Аччиғимни чиқарма
Жонимни жабборга бериб,Ишласам жонимни Жабборга (Худога) бериб астойдил ишлайман
Жонли,1. Зўр. 2. Бозорга бориб қурбонликка бирон жонли (қорамол ёки қўй) олиб кел
Жонли,Зўр
Жонсиз,Заиф
Жонузоқи,"Касалманд одам, шу ҳолда узоққа бормайди"
Жор солмоқ гаракмиди,"Иш битмай туриб, ишни натижаси ҳақида ҳаммага эълон қилиш керакмас."
Жотир-жутир,Бирдан бирор бир матонинг йиртилиб ёки тикинидан сўкилиб кетиши
Жубба,Ёш болалар пахтали кўйлаги
Жўвирта,Атайин
Жўвирта галдим,Атайлаб сизни кўриш учун келдим
Жувойи,Жуфти
Жувоннамак,Безовта қилувчи ёш болаларга нисбатан айтиладиган койишни тури.
Жугур,Учли тош
Жўжиқ,"Ёш болани зўр боласан, деб суядилар."
Жўйи,"Айёр, лўли, алдоқчи."
Жўққи,Мақтанчоқ
Жумалак,"Қизларни тор-тор қилиб эшилган сочи, қокилчаси"
Жумёз,Жуманиёз
Жундик,1. Болалар лаби 2. Жўмрак
Жупла,Бопла
Жупладим,Бопладим
Жупламак,Чув туширмоқ
Журён,Қишлоқ номи
Жўроп,Пайпоқ
Журра,Ўсмай қолган одам
Журрик,Пишмаган қовун
Журшик (журтик),Жуда майда
"Жўш (феъл
буйруқ майли)",Меҳмон қил.
Жўшмачи,"Қўли очиқ, саҳий"
Жуян,Оқ жўҳори
Забирдовуқ,"Чаққон, тез юрадиган."
Завол бўлмасин,Ҳеч ким бевақт ўтиб кетмасин
Зақирдат,"Тезлат, чаққонлаштир"
Заққум,"Заҳар, ўта аччиқ."
Замбар,Замбил
Замориқ,Қўзиқорин
Занг қот,Жим тур
Занги,1. Нарвон 2. Майитни ётқизиб қабристонга олиб борадиган тобут.
Зангнгар,"1. Болаларга нисбатан мақтов ёки койийдиган сўз, ҳа сани зангнгар, нима қилиб қўйдинг"
Зар,Заҳар
Заранг,"Қаттиқ, муздек қотиб қолган"
Зарли илон,Заҳарли илон
Затарак атди,Қийнаб юборди
Захак,Муғомбир
Заҳмат,"Меҳнат, азоб чекиш."
Зейсув,Ер ости суви
Зигирик,Мол думғазаси
Зиёга чиқади,Зое кетади
Зил,Оғир
Зинг,"1. Улоқтир 2. Югур, тез қоч"
Зингилламоқ,Хиргойи қилмоқ
Зингловуқ,Сариқ рангли ари
Зингнгит,Улоқтир
Зинқилдамоқ,"Боланинг инжиқлик қилиб, тўхтаб тўхтаб йиғлаши."
Зипла,Кўринмай қоч
Зиптирим,Ёпишқоқ модда
Зир-зир,Ич кетиши
Зирриқ,"Нажас, мол чиқиндиси"
Зиртиқ,Вазелин
Зиҳна,Зиқна
Зоволо,Зувала
"Зоғ (Пахта зоғ бўлиб
очилибди)",Лўпи-лўппи. Масалан: Пахта барқ уриб очилибди.
Зоғора,Оқ жўхори унидан қилинган булка-нон
Зомча,Ҳандалак
Зонди,Авлоди
Зондингни айт,"Кимлардан бўласан, сулолангни гапириб бер (ота –онанг, боболаринг кимлар, деб суриштирилади)"
Зорт,Инсон танасидан қаттиқ ел чиқиши
Зувлаб гетди,Тезлашиб кетди (югуриб кетди)
Зўқоқ,Баланд бўйли
Зумакон,"Зимистон, ўта қоронғи жой."
Зўрдан галдим,"Йўллар ёмон экан зўрға етиб келдим,"
Зўрдан ўтдим,"Зўрға ўтдим, туйнук тор экан"
Зўрриқ,"1. Узунчоқ пиёз 2. Шишиб, бўртиб чиққан жой"
Иби,Ҳов
Ибии,"Фалончи оламдан ўтибди деган хабарни эшитиб, иби нима бўлибди, билмай қолибман, яхшигина юргандику, жойлари жаннатда бўлсин, хайратланиш"
Ибияй,Ҳов-ҳов
Ива,Ҳўл
Ида,Жийда
Идагул,1.Жийда гули. 2. Қовун нави.
Идилли,Рисоладагидек
"Ижжон, этжон","1. Ошпичоқ билан майда қилиб чопиб, пиёз ва зироворлар аралаштирилган хом гўшт 2. Қийма гўшт"
Изғор,"Хўл, намланган."
Изғор бериш,"Чигит экилгандан кейин шу ҳудудда ер ости суви сатҳини кўтариш (чигит экишда ер қуруқ бўлса, яъни экиш вақтини ўтказиб юборилиб кеч экилган дала бўлса, атрофидаги захкашларни бир қисмини, оёқ томонини кўмиб, сув сатхини кўтариш, шунда нам юқорига кўтарилади)"
Изи ким?,Кейингиси ким (навбатда туриш учун сўралади) ?
Ийи тутди,Тўлғоқ тутди
Ийқ,"Сув оқими, ариқни сокин оқадиган жойи."
Ийри,"Йирик, йўғон"
Икки буклан,Боши билан оёғини бир ерга келтириб букилиш
"Ил(феъл буйруқ
майли)",Қулфла
Илгак,"1.Кийим осиб қўядиган мослама, вешалка 2.Қудуқдан сув олиш учун челакни маҳкамлайдиган илгак"
Илдила,Уйни кулфладилар
Иққиллдовиқ,Ҳиқичоқ
Илдир,Илиб қўй
Илдирма,Кўк гўмма пиширганда. Олдиндан чопқиланиб эзилган кўкка сарёғ қўшиб ейилади. Гўштдан қилинган ижжон каби
Илик,Қулфланган
Илимоқ,Ён босмоқ
"Илки, узумни илки","Илк, узумни илкини (эндигина пишганини Шаҳризода еб кетди)"
Иллат,Офат (касалликка оид)
Илма,Эшикни қулфлама
Илойим,"1. Баттар бўл 2. Худоё, илоҳим"
Илон ёстиқи,Дарахтларнинг илдизини ейдиган зараркунанда ҳашорат
Им-симда бажар,Ҳеч кимга билдирмай бажар
Имакламоқ,Эмакламоқ
Имиқ жой,"Иссиққина, шамолдан пана жой."
Имиқ зиёфат,Оз кишилик зиёфат
Имр думон,"Тўс тўполон, ҳамма ёқ дам олиб бўлмас тутун бўлиб кетди"
Имсим,Билдирмасдан
Ина,Мана
Индавак,Маҳалла номи
Индамас,"Овоз чиқармай келиб чақадган пашша (чивин). Аслида пашшалар зинглаб келишади, чақишга келаётганидан огоҳ қилади"
Инди,Энди
Инди сўлла,Энди гапир
Инжитма,Ҳафа қилма
Ини,1. Оға ини
Инна,"Нина, игна"
Иноби,Манабу
Инон,Ишон
Инончли,Ишончли
Интиқмоқ,Интизор бўлмоқ
Ирғанаварма,Қимирлайверма
Ирдимзон,Маҳалла номи
Иринг,Йиринг
Иркилибман,"Сал уйқуга кетибман, уйқуга кетганимни билмай қолибман, жуда қисқа муддатда уйқуга кетган. Кўзим иркилган экан, келганингни билмай қолибман"
Исвант,Исириқ
Исирға,Сирға
Иситма,Касал тури
Иски пасод,Тўс-тўполон
Исқирт,Зиқна
Исмомутдан ис чиқса ҳозиру-нозир,"Пайғамбаримиз Мухаммад Алайҳиссалом даврида мусулмонликни тарғибот қилиб келган Исмомут ота Хоразмда қолиб кетган. Унинг қабри Хивадан ана узоқда бўлгани учун шунчалик узоқликда овқат пиширилаётган бўлсада, шуни ҳам ҳидидан билади, бу инсон деб, қаерда овқат пишса шу ерда асалому алайкум деб кириб келаверадиган одамни лақаби."
Исоп,Қойил қолмоқ
Испиқилонт,Чайқовчи
Истамак,"Хоҳламоқ, соғинмоқ"
Истисқо,"Инжиқ, нозик одам."
Ит мути,Сув текин маъносини англатади. Ибора- нинг келиб чиқиши: Ит ҳаром қилинган жонивор бўлганлиги учун қадимда уни сотиб даромад қилишни одамлар ўзларига эп кўришмаган. Шунинг ит бировга текин берилган.
Италаб ювар (машинни),Итариб юбор (машинани)
Итдирсак,"Говмичча, говмижжа, кўз қовоғига чиқадиган йирингли чипқон."
Итизға,"Ярамас одам, қаерга борса шу ерда тинчлик бузилади."
Итоғиз,Оғзидан яхши гап чиқмайдиган одам
Итошиқидин,Жуда ориқ одам
Итчивин,Бўка
"Ихии, оёқ олишинг бошқача кўринади","Эхээ, хатти–харакатинг бошқача кўринади, мансабда кўтарилиб, кеккайиб келганга нисбат"
Ич,Қорин
Ич гўйнак,Ётишда киядиган куйлак
Ичи ўтибди,Ич кетган (диарея)
Ичикиб кулиш,Ичак узиладиган даражада кулиш
Ичим ўвишди,Раҳмим келди
Ичон,"Ичкари, ички"
Ичон қалъа,Ичкари қалъа
Ичонни қороб чиқ,Ичкарини қараб кўр
Иш мактаби,"Меҳнат мактаби, ишлаб ўқийдиганлар учун мактаб"
Ишвалак,Хуштак
Ишқи печак,"Қўй яхши кўрадиган ўт, атрофида тик ўсадиган қандай ўсимликми, ўтми бўлса уларга ишқи кетиб ўралиб ўсадиган печак ўт. Қизиғи шундаки, қанчалик ўралсада бирон марта япроқга зарар етказмай тепага юраверади."
Ишқир,Иштон боғи
Иштай,Иштаҳа
Ишундат,Мана шундай қил
Ия,"1. Эга. 2. Оилада ўзидан кичикларни ия дейишган. Бизнинг фикримизча катталар қариб қолганда улар ўзидан кичикларни қаромиғида бўладилар, демак у эртага бизга эгалик қилади деган маънони билдирган. Катталарга, ёш гўдаклар сенинг иянг бўлади деб тушунтиришган."
Йигит енгнор,Тўйдан бир кун олдин куёв жўралар учун зиёфат.
Йиғиржиқлан- моқ,"Истар истамаслик, нохуш аҳволдаги холат"
Йийман сани,"Сени еб қўяман, деб болани эркалаш."
Йилвўй,Ялпиз
Йилғин,Юлғун
Йилдам,"Кучли, тез оқадиган сув."
Йилдирим,1.Чақмоқ. 2.Чаққон одамга нисбатан ҳам ишлатилади.
Йилиб кетди (қўлдан),Сирғаниб тушиб кетди
Йилимжи,Лаганбардор
Йилимтиқ,Бемаза
Йилиш,Сурил
Йилма,Силлиқ
Йилмовиқ,Жуда текисланган
"Йилмола, гирмола",Сувоқни силлиқлайдиган асбоб.
Йилпиш,Тилёғлама
"Йимолондим йимоқ топдим, йимоқни ичиндан тароқ
топдим.",Болалар ўйини тури.
Йип,Нозик арқонча
Йип бўл,Жим бўл
Йўғич,"Жўва, хамирни ёйиш учун ишлатиладиган буюм."
Йўл усти,Йўл-йўлакай
Йўла солиб бўлмади,"Бу одамни тарбиялаб бўлмади, тўғри йўлга тушмади."
Йўлворс,Йўлбарс
Йўлиқтирмоқ,Учратмоқ
Йўллиқ,Сафарга кетадиганларга бериладиган пул
йумирта барак,тухумдан чучвара
Йўнғичқа,Қуруқ беда
Йўниғчи,Дурадгор уста
Йўнқа,Жуда майда ўтин
Йўрға от,Текис юрадиган от
Йўринжа,Беда
Кабза,Курак суяги
Кавоп бўл,"Кабоб бўлгайсан, сўкишни бир тури, куйиб ўлгайсан дегани"
Кади,1. Қовоқ
Каж,Ўжар
Кайвони,"Оқила, бошқаларга ибрат бўладиган, ҳаммага сўзи ўтадиган обрўли аёл."
Калаваранг,Фикри жойда бўлмаган одам
Калак,"Чўнтиқ, сочи текис ўсмаган."
Калаки,Шохсиз қўчқор.
Калантар,"1.Лангар, ўзаро муаммоларни ечувчи. 2.Икки челак сувни елкада кўтариш учун ёғоч баркаш."
Калантар,"Маълум худудда, айрим соҳаларда муаммоларни ечимини топувчи, маслахатчи, тўғри йўлга бошловчи, етакчи. Катта бобомиз Мадали жаммоб, тарихий китобларда баён қилинганига қараганда Хивадаги тўқувчиларнинг калантари бўлиб танилган."
Калла бошоёқ,Калла-поча
Калла пишдими?,Яхши ухладингми?
Каллак урмоқ,Мевали дарахтни пайвандлаш ёки умрини узайтириш учун устки қисмини кесиб ташлаш.
Каллақанд,Катта муштдек оқ қанд
Калланг қурғой,Эсинг қурсин.
Калланг нерда,"Калланг жойидами, миянг борми"
"Калланга
сингдириб ол",Миянга қуйиб ол
Калланга қуйиб ол,Яхшилаб тушуниб ол
Калласиз,"Миясиз, ақлсиз"
Кало аттим,Боқиб тарбиялаб вояга етказдим
Кало бўлди,Вояга етди
Каловзан,Бесўнақай
Калтаминор,1.Маҳалла номи. 2. Хивадаги битмай қолган кўк минора
Калтикалос,Калтакесак
Калчик,Тили чучук одам
Камзул,Костюм
Камис,"Кам мол, ками бор иш, кам-кўстли"
Кангширик,Ҳалқум
Кант,Қишлоқ маркази
Капак,1. Ун кепаги 2. Сани қилган ишинг бир тийин
"Капди (Ҳазорасп
тумани),   кўвди (Гурлан тумани)",Қуриди
Капинли сим,Ток ўтмайдиган резина билан қопланган электр сими
Капкир,Капгир
Каппон,"А. Навоийнинг Садди Искандарий асарида талқин қилинганига қараганда бу сўз ҳозирги стандарт сўзини билдиради, луғатда омборхона деб тушунтирилади, халқ тилида тарозибон деб айтилади. Искандар тахтга ўтирганда биринчи галда адолатни ўрнатди, тарозини тузатди, тошини темирдан қилди ва мухрлади, ҳамда шу тариқа каппонни кашф килди дейди. Демак ""каппон"" ҳозирги ""стандарт"" сўзига тўғри келади"
Каптархона,1.Маҳалла номи 2.Каптарлар сақланадиган жой
Капча,"Кесадиган қисми жуда кескир ишланган узун дастали белкуракнинг бир тури. Асосан пахса девор қуришда ишлатилади, капчачи лойни шундай кесадики, неча марта кесса ҳам бир хилда капча энига ва бўйига тенг бўлади."
Карвуч,Ғишт
Карсан,Чуқур ёғоч товоқ
Кас,"Гапни камайтир, гапни тўхтат"
Каса,Кўндаланг
Каса чиққинжи,Кўзда тутилмаган харажат
Каса чиқма,Менга рўбаро бўлма
Касик,Кесилган
Касма,1. Кесма 2. Бир бўлак гўшт
Кат,"Шаҳарча, қўрғон"
Катён,Кўл-чўлларда ўсадиган тиканли ўт
Катман,Кетмон
Катхудо,Обрўли инсон
Кашшоф,Пионер
Кейинга бостир,Орқага ҳайда
Кейни,Охири
Кийиз,"Жундан босилган кигиз (кигиз тўқилмайди, жунни босиб бирлаштирилади)"
Килит,Калит
Кин сақламақ,Гина-қудрат сақламоқ
Кипр,Дарвозабон (футбол ўйинида)
Кириш,Қовун тилими
Кирмонингни,Қадди бўйингни
Кирпи,Типратикон
Кирпик,Киприк
Кирсовин,Ҳамма нарсани ёмон томонига эътибор қаратувчи одам
Киса,"Кисса, чўнтак."
Киччи,Кичик
Кишмиш,Шибирғони узумдан қилинадиган майиз
Кишт,"Товуқ, қушларни ҳайдаш, қувиш."
клтирик,озгин
Кон,Кўп
Коса,"1. Пиёла 2. Қовунни уч қисмга тенг бўлиб (гурвак бўлса иккига бўлиб) пўчоққа яқин жойидан кесиб ажратилади ва бўлакларга бўлинади, бу коса идишда тургандай бўлади, шуни бир коса қовун дейдилар."
Кўвиш,Елим калиш
Кўвламоқ,Ковламоқ
Кўвсан,"Ҳосилдан қариндош-уруғ, қўшниларга ҳадя сифатида бериладиган улуш."
Кулангги,Урушқоқ хўроз зоти
Кўлик (Гурлан т.),Улов
Култа,"Боғлам ( Беда, жўхори, гўзапоя боғламларига нисбатан ишлатилади)"
Кўлча,Ерни суғоришда олинадиган кичик майдончалар.
Кулча-қатлама,Тўйдан олдин келин томонга олиб бориладиган нон-патирлар.
Кума,Ер-тўла
Кўмач,Ачимаган хамирдан товада пиёз қўшиб пиширилган нон
Кўнглим дўқ,Кўнглим тинч
